request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. The plan keeps at least INR 124300 available through the 90-day forecast.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 scheduled payments totaling IDR 24620960.01. The plan keeps at least IDR 25359500 available through the 90-day forecast.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. The plan keeps at least IDR 20114600 available through the 90-day forecast.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. The plan keeps at least IDR 17304500 available through the 90-day forecast.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. The plan keeps at least INR 147800 available through the 90-day forecast.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 scheduled payments totaling EUR 1499.79. The plan keeps at least EUR 1400 available through the 90-day forecast.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. The plan keeps at least EUR 1300 available through the 90-day forecast.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. The plan keeps at least IDR 13994300 available through the 90-day forecast.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 scheduled payments totaling EUR 1460.88. The plan keeps at least EUR 900 available through the 90-day forecast.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Pay ZAR 11830 today. The plan keeps at least ZAR 13600 available through the 90-day forecast.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today. The plan keeps at least IDR 10470700 available through the 90-day forecast.
request_209,8625.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-06,none,Use 3 scheduled payments totaling USD 1414.44. The plan keeps at least USD 2000 available through the 90-day forecast.
request_211,1227.89,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Wait until 2024-09-15, then pay EUR 1788.6 in full. Paying earlier would put the EUR 1500 minimum at risk."
request_212,22344000.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 scheduled payments totaling USD 3496.89. The plan keeps at least USD 2100 available through the 90-day forecast.
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use 2 scheduled payments totaling INR 72540. The plan keeps at least INR 174900 available through the 90-day forecast.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 scheduled payments totaling ZAR 31185.45. The plan keeps at least ZAR 15700 available through the 90-day forecast.
request_216,1166.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the USD 1800 minimum protected.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use 3 scheduled payments totaling ZAR 38667.21. The plan keeps at least ZAR 26800 available through the 90-day forecast.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Use 3 scheduled payments totaling IDR 63587679.99. The plan keeps at least IDR 34477200 available through the 90-day forecast.
request_219,1673.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-13. None of the available options keeps the EUR 1100 minimum protected.
request_220,387.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. The plan keeps at least INR 81500 available through the 90-day forecast.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. The plan keeps at least ZAR 27300 available through the 90-day forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. The plan keeps at least EUR 800 available through the 90-day forecast.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use 2 scheduled payments totaling IDR 10740080. The plan keeps at least IDR 22187600 available through the 90-day forecast.
request_225,18120459.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-21. None of the available options keeps the IDR 17670700 minimum protected.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. The plan keeps at least INR 209400 available through the 90-day forecast.
request_227,42755.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-20. None of the available options keeps the INR 62900 minimum protected.
request_228,10557350.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26191200 minimum protected.
request_229,727.52,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-23. None of the available options keeps the EUR 1000 minimum protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. The plan keeps at least EUR 2000 available through the 90-day forecast.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Use 3 scheduled payments totaling ZAR 37134.24. The plan keeps at least ZAR 24300 available through the 90-day forecast.
request_232,1869.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2400 minimum protected.
request_233,6241000.0,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-07,none,Use 2 scheduled payments totaling IDR 6490640. The plan keeps at least IDR 10365700 available through the 90-day forecast.
request_234,574.25,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the EUR 700 minimum protected.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. The plan keeps at least USD 700 available through the 90-day forecast.
request_236,14404850.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. The plan keeps at least IDR 22431500 available through the 90-day forecast.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 scheduled payments totaling USD 690.15. The plan keeps at least USD 700 available through the 90-day forecast.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. The plan keeps at least USD 600 available through the 90-day forecast.
request_240,39920.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 scheduled payments totaling IDR 21894080.01. The plan keeps at least IDR 19252000 available through the 90-day forecast.
request_242,437.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. The plan keeps at least ZAR 19900 available through the 90-day forecast.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. The plan keeps at least ZAR 45900 available through the 90-day forecast.
request_245,65760.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the INR 94600 minimum protected.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 scheduled payments totaling ZAR 66649.44. The plan keeps at least ZAR 39300 available through the 90-day forecast.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. The plan keeps at least EUR 1300 available through the 90-day forecast.
request_248,1507.36,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-28. None of the available options keeps the USD 1300 minimum protected.
request_249,342.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the USD 600 minimum protected.
request_250,28820.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1513.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1300 minimum protected.
request_252,10098500.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the IDR 15152200 minimum protected.
request_253,2143.57,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-01. None of the available options keeps the EUR 2300 minimum protected.
request_254,1759.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the USD 2500 minimum protected.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. The plan keeps at least IDR 9813900 available through the 90-day forecast.
request_256,218700.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-19. None of the available options keeps the INR 168600 minimum protected.
request_257,1085.2,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Wait until 2025-11-15, then pay USD 1352.4 in full. Paying earlier would put the USD 1600 minimum at risk."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. The plan keeps at least USD 500 available through the 90-day forecast.
request_259,627.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the EUR 600 minimum protected.
request_260,15059400.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. The plan keeps at least EUR 1500 available through the 90-day forecast.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. The plan keeps at least IDR 31018500 available through the 90-day forecast.
request_263,14718.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24100 minimum protected.
request_264,39795.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. None of the available options keeps the INR 59500 minimum protected.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. The plan keeps at least INR 189700 available through the 90-day forecast.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use 3 scheduled payments totaling EUR 972.39. The plan keeps at least EUR 900 available through the 90-day forecast.
request_267,1925.0,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-05,none,Use 3 scheduled payments totaling EUR 2001.99. The plan keeps at least EUR 1500 available through the 90-day forecast.
request_268,1512.52,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1400 minimum protected.
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Pay ZAR 15490 today. The plan keeps at least ZAR 23100 available through the 90-day forecast.
request_270,535.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. None of the available options keeps the USD 1400 minimum protected.
request_271,84760.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the INR 58200 minimum protected.
request_272,8815924.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-10. None of the available options keeps the IDR 7508600 minimum protected.
request_273,13372200.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. None of the available options keeps the IDR 18774600 minimum protected.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-04,none,Use 3 scheduled payments totaling EUR 2822.25. The plan keeps at least EUR 1800 available through the 90-day forecast.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. The plan keeps at least IDR 12760100 available through the 90-day forecast.
